index,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,year,month_remaining_lease,storey_range_low,storey_range_high,lat,lon
0,1,ANG MO KIO,2 ROOM,406,ANG MO KIO AVENUE 10,10 TO 12,44.0,5,1979,61 years 04 months,232000.0,2017,736,10,12,1.36200453938712,103.853879910407
1,1,ANG MO KIO,3 ROOM,108,ANG MO KIO AVENUE 4,01 TO 03,67.0,12,1978,60 years 07 months,250000.0,2017,727,1,3,1.37094273993861,103.837974822369
2,1,ANG MO KIO,3 ROOM,602,ANG MO KIO AVENUE 5,01 TO 03,67.0,12,1980,62 years 05 months,262000.0,2017,749,1,3,1.38070883044887,103.835368226602
3,1,ANG MO KIO,3 ROOM,465,ANG MO KIO AVENUE 10,04 TO 06,68.0,12,1980,62 years 01 month,265000.0,2017,745,4,6,1.3662010408294,103.857200967235
4,1,ANG MO KIO,3 ROOM,601,ANG MO KIO AVENUE 5,01 TO 03,67.0,12,1980,62 years 05 months,265000.0,2017,749,1,3,1.38104134784496,103.835131744823
5,1,ANG MO KIO,3 ROOM,150,ANG MO KIO AVENUE 5,01 TO 03,68.0,12,1981,63 years,275000.0,2017,756,1,3,1.37680678506745,103.842017962576
6,1,ANG MO KIO,3 ROOM,447,ANG MO KIO AVENUE 10,04 TO 06,68.0,12,1979,61 years 06 months,280000.0,2017,738,4,6,1.36750371103856,103.855897952833
7,1,ANG MO KIO,3 ROOM,218,ANG MO KIO AVENUE 1,04 TO 06,67.0,12,1976,58 years 04 months,285000.0,2017,700,4,6,1.36511908595886,103.841742478489
8,1,ANG MO KIO,3 ROOM,447,ANG MO KIO AVENUE 10,04 TO 06,68.0,12,1979,61 years 06 months,285000.0,2017,738,4,6,1.36750371103856,103.855897952833
9,1,ANG MO KIO,3 ROOM,571,ANG MO KIO AVENUE 3,01 TO 03,67.0,12,1979,61 years 04 months,285000.0,2017,736,1,3,1.37005500420092,103.854880566919
10,1,ANG MO KIO,3 ROOM,534,ANG MO KIO AVENUE 10,01 TO 03,68.0,12,1980,62 years 01 month,288500.0,2017,745,1,3,1.37405846295585,103.854168170426
11,1,ANG MO KIO,3 ROOM,233,ANG MO KIO AVENUE 3,10 TO 12,67.0,12,1977,59 years 08 months,295000.0,2017,716,10,12,1.36754924977907,103.836740628478
12,1,ANG MO KIO,3 ROOM,235,ANG MO KIO AVENUE 3,04 TO 06,67.0,12,1977,59 years 08 months,295000.0,2017,716,4,6,1.36682360708102,103.83649123895
