psi,region,month,year
39,national,1,2017
33,south,1,2017
36,north,1,2017
39,east,1,2017
29,central,1,2017
26,west,1,2017
39,east,2,2017
39,central,2,2017
38,south,2,2017
36,north,2,2017
29,west,2,2017
39,national,2,2017
40,east,3,2017
48,central,3,2017
52,south,3,2017
51,north,3,2017
49,west,3,2017
52,national,3,2017
59,east,4,2017
59,central,4,2017
62,south,4,2017
61,north,4,2017
54,west,4,2017
62,national,4,2017
56,east,5,2017
62,central,5,2017
60,south,5,2017
67,north,5,2017
65,west,5,2017
67,national,5,2017
53,east,6,2017
54,central,6,2017
58,south,6,2017
58,north,6,2017
41,west,6,2017
58,national,6,2017
42,west,7,2017
51,national,7,2017
35,east,7,2017
29,central,7,2017
31,south,7,2017
51,north,7,2017
34,west,8,2017
49,national,8,2017
45,east,8,2017
36,central,8,2017
49,south,8,2017
43,north,8,2017
53,west,9,2017
53,national,9,2017
37,east,9,2017
41,central,9,2017
31,south,9,2017
53,north,9,2017
31,west,10,2017
53,national,10,2017
53,east,10,2017
39,central,10,2017
48,south,10,2017
53,north,10,2017
35,west,11,2017
54,national,11,2017
54,east,11,2017
51,central,11,2017
52,south,11,2017
54,north,11,2017
46,west,12,2017
46,national,12,2017
34,east,12,2017
27,central,12,2017
29,south,12,2017
33,north,12,2017
20,west,1,2018
41,national,1,2018
41,east,1,2018
28,central,1,2018
29,south,1,2018
33,north,1,2018
55,west,2,2018
56,national,2,2018
53,east,2,2018
56,central,2,2018
53,south,2,2018
54,north,2,2018
54,west,3,2018
56,national,3,2018
47,east,3,2018
41,central,3,2018
56,south,3,2018
53,north,3,2018
56,west,4,2018
69,national,4,2018
68,east,4,2018
65,central,4,2018
69,south,4,2018
59,north,4,2018
48,west,5,2018
51,national,5,2018
42,east,5,2018
51,central,5,2018
49,south,5,2018
48,north,5,2018
54,west,6,2018
59,national,6,2018
55,east,6,2018
59,central,6,2018
56,south,6,2018
58,north,6,2018
52,west,7,2018
52,national,7,2018
25,east,7,2018
32,central,7,2018
31,south,7,2018
28,north,7,2018
54,west,8,2018
68,national,8,2018
60,east,8,2018
59,central,8,2018
68,south,8,2018
59,north,8,2018
37,west,9,2018
49,national,9,2018
41,east,9,2018
47,central,9,2018
47,south,9,2018
49,north,9,2018
58,west,10,2018
61,national,10,2018
59,east,10,2018
58,central,10,2018
61,south,10,2018
57,north,10,2018
36,west,11,2018
45,national,11,2018
40,east,11,2018
44,central,11,2018
45,south,11,2018
39,north,11,2018
29,west,12,2018
47,national,12,2018
47,east,12,2018
42,central,12,2018
45,south,12,2018
35,north,12,2018
25,west,1,2019
36,national,1,2019
36,east,1,2019
31,central,1,2019
36,south,1,2019
35,north,1,2019
35,west,2,2019
57,national,2,2019
57,east,2,2019
46,central,2,2019
52,south,2,2019
42,north,2,2019
52,west,3,2019
57,national,3,2019
55,east,3,2019
56,central,3,2019
57,south,3,2019
53,north,3,2019
57,west,4,2019
71,national,4,2019
70,east,4,2019
65,central,4,2019
71,south,4,2019
68,north,4,2019
52,west,5,2019
60,national,5,2019
39,east,5,2019
59,central,5,2019
60,south,5,2019
